,Local de instalação,Latitude,Longitude
77,S-S-DOU,-22.268363998,-54.992108182
78,S-S-DRO,-27.670468178,-48.514055782
79,S-S-FAR,-29.220421371,-51.324325999
80,S-S-FCO,-27.139301292,-53.053058192
81,S-S-FHA,-28.74709,-49.52394
82,S-S-GAR1,-29.23936,-51.5125
83,S-S-GAS2,-26.87424,-49.02148
84,S-S-GRA,-29.881811512,-51.063243334
85,S-S-GRT,-27.613098,-53.570707
86,S-S-GUA,-24.10288,-54.22622
87,S-S-GUI,-24.10288,-54.22622
88,S-S-GUO,-25.43111,-51.59772
89,S-S-IJU2,-28.363782248,-53.903862357
90,S-S-IRN,-25.36855,-50.66506
91,S-S-ITA,-26.909729847,-48.821676035
92,S-S-ITJ,-26.973225629,-48.78140565
93,S-S-ITR,-27.709691232,-50.555374131
94,S-S-IVI2,-22.41787,-53.575
95,S-S-IVP,-24.431124882,-51.677100588
96,S-S-JLA,-28.450648644,-48.969915087
97,S-S-JLB,-28.455991634,-48.970700546
98,S-S-JNO,-26.25167873,-48.90113427
99,S-S-JOI,-26.291545344,-48.887651795
100,S-S-LGR,-28.990476138,-50.557329308
101,S-S-LIV2,-30.86267,-55.54296
102,S-S-LIV3,-30.78643,-55.75445
103,S-S-LNA,-23.27589,-51.23777
104,S-S-LNS,-23.37978,-51.25692
105,S-S-LON,-23.463187661,-51.140992298
106,S-S-MBR,-29.15082,-56.06741
107,S-S-MCH,-27.527550055605,-51.78910964597365
108,S-S-MCL,-29.013285593,-51.535671781
109,S-S-MIM,-20.677287916,-53.568021692
110,S-S-MIS,-28.388324699,-54.932683913
111,S-S-MRO2,-33.13968437703576,-52.98995061946913
112,S-S-NAN,-22.25599,-53.33715
113,S-S-NPE2,-29.352424606,-51.005563057
114,S-S-NPR2,-28.80619,-51.61067
115,S-S-NSR,-29.823153077,-51.335250365
116,S-S-OSO2,-29.89524,-50.31572
117,S-S-PAL,-27.641413214,-48.691223114
118,S-S-PFU,-27.484181329,-52.718611416
119,S-S-PGR,-25.09069,-50.32477
120,S-S-PIN2,-26.822,-53.024
121,S-S-PME,-31.55343,-53.68091
122,S-S-PNO,-31.929188213413077,-52.340093171352684
123,S-S-QUI,-32.07718,-52.26962
124,S-S-RCO,-27.586966987,-48.618855408
125,S-S-ROQ,-28.13157,-55.05772
126,S-S-SCR1,-29.75045,-52.41776
127,S-S-SDI,-23.4444,-51.82377
128,S-S-SEDE,-27.60679612,-48.52145543
129,S-S-SERT,-27.6015,-48.68065
130,S-S-SID,-28.602295194,-49.411049873
131,S-S-SMA3,-29.68155,-53.87625
132,S-S-SOS,-25.539957735,-53.012851087
133,S-S-SPA2,-33.4746491329838,-53.29966791412977
134,S-S-SSA,-25.630573413,-52.622422663
135,S-S-STA,-28.280033636,-54.325990707
136,S-S-TPR2,-28.666878885,-52.864633061
137,S-S-URU5,-29.80811,-57.00433
138,S-S-VIN,-29.17544,-51.47143
139,S-S-VMT,-28.55507,-52.08108
140,S-S-XAN,-26.863425313,-52.393008765
141,S-S-YTA,-27.272514089,-52.406256913
142,S-U-UHBC,-28.114237087,-49.142443728
143,S-U-UHCB,-28.114237087,-49.142443728
144,S-U-UHJB,-27.715618157,-50.6718432
145,S-U-UHPJ,-28.131071762,-55.057943619
146,S-U-UHSD,-20.063551677,-53.176889874
