,Ano Mes,Local de instalação,HH,Quantidade de Acidentes,Quantidade de Acidentes de Alto Potencial,Binario Acidentes de Alto Potencial
78,2020-02,S-S-LNS,6.096774193548387,0.0,0.0,0.0
79,2020-02,S-S-NSR,95.1204049874616,0.0,0.0,0.0
80,2020-02,S-S-QUI,29.27142857142857,0.0,0.0,0.0
81,2020-02,S-S-ALE,53.708525641025645,0.0,0.0,0.0
82,2020-02,S-S-TPR2,144.92208791208782,0.0,0.0,0.0
83,2020-02,S-S-SPA2,25.88571428571429,0.0,0.0,0.0
84,2020-02,S-S-DRO,84.07030677655679,0.0,0.0,0.0
85,2020-02,S-S-GUO,9.647058823529411,0.0,0.0,0.0
86,2020-02,S-U-UHJB,197.477215357973,0.0,0.0,0.0
87,2020-02,S-S-XAN,155.81547622113186,0.0,0.0,0.0
88,2020-02,S-S-MIS,350.53428571428583,0.0,0.0,0.0
89,2020-02,S-U-UHBC,203.4800967361085,0.0,0.0,0.0
90,2020-02,S-S-MBR,3.0,0.0,0.0,0.0
91,2020-02,S-S-SERT,396.25,0.0,0.0,0.0
92,2020-02,S-S-PFU,173.93977411477414,0.0,0.0,0.0
93,2020-02,S-S-PAL,343.8361194361189,0.0,0.0,0.0
94,2020-02,S-S-GRA,120.54280831360352,0.0,0.0,0.0
95,2020-02,S-S-CUR,351.8295468509988,0.0,0.0,0.0
96,2020-02,S-S-GUA,0.6136363636363636,0.0,0.0,0.0
97,2020-02,S-S-LIV2,24.998447204968944,0.0,0.0,0.0
98,2020-02,S-S-NPE2,31.718791208791203,0.0,0.0,0.0
99,2020-03,S-S-IVI2,67.35142857142858,0.0,0.0,0.0
100,2020-03,S-U-UHBC,225.8491296639649,0.0,0.0,0.0
101,2020-03,S-E-MCR,14.266666666666666,0.0,0.0,0.0
102,2020-03,S-S-IJU2,31.43076923076923,0.0,0.0,0.0
103,2020-03,S-S-ARE,893.962763800922,0.0,0.0,0.0
104,2020-03,S-E-RCA,5.2,0.0,0.0,0.0
105,2020-03,S-S-CBA,121.59652036659767,0.0,0.0,0.0
106,2020-03,S-S-LNS,6.096774193548387,0.0,0.0,0.0
107,2020-03,S-S-JNO,66.28179716117201,0.0,0.0,0.0
108,2020-03,S-S-STA,79.91837912087914,0.0,0.0,0.0
109,2020-03,S-E-PAU,1.4666666666666666,0.0,0.0,0.0
110,2020-03,S-S-TPR2,117.38351648351647,0.0,0.0,0.0
111,2020-03,S-S-DOS,9.0,0.0,0.0,0.0
112,2020-03,S-S-LIV2,35.782732919254634,0.0,0.0,0.0
113,2020-03,S-S-MIS,273.4214285714285,0.0,0.0,0.0
114,2020-03,S-S-JLA,117.5907936507937,0.0,0.0,0.0
115,2020-03,S-S-FAR,196.9320938431349,0.0,0.0,0.0
116,2020-03,S-U-UHPJ,469.5101345309408,0.0,0.0,0.0
117,2020-03,S-S-DOU,57.98685279367098,0.0,0.0,0.0
118,2020-03,S-S-CGR,101.13668946683303,0.0,0.0,0.0
119,2020-03,S-S-ATL2,13.09152658152658,0.0,0.0,0.0
120,2020-03,S-S-ALE,120.01852564102556,0.0,0.0,0.0
121,2020-03,S-S-JOI,358.30436695018454,0.0,0.0,0.0
122,2020-03,S-S-URU5,7.170000000000001,0.0,0.0,0.0
123,2020-03,S-S-NSR,190.5889764160331,0.0,0.0,0.0
124,2020-03,S-E-CMCBA,0.968627450980392,0.0,0.0,0.0
125,2020-03,S-S-SSA,209.4206653646602,0.0,0.0,0.0
126,2020-03,S-S-GAS2,37.200770308123246,0.0,0.0,0.0
127,2020-03,S-S-SOS,282.0914169164169,0.0,0.0,0.0
128,2020-03,S-E-CCA,0.32,0.0,0.0,0.0
129,2020-03,S-S-PIN2,190.5964020037933,0.0,0.0,0.0
130,2020-03,S-S-CAM3,6.3,0.0,0.0,0.0
131,2020-03,S-S-MIM,127.69470756516208,0.0,0.0,0.0
132,2020-03,S-S-NPE2,112.13164835164824,0.0,0.0,0.0
133,2020-03,S-E-IMR,0.0,0.0,0.0,0.0
134,2020-03,S-S-CAX,474.5996398550948,0.0,0.0,0.0
135,2020-03,S-S-QUI,51.17142857142858,0.0,0.0,0.0
136,2020-03,S-S-SID,73.57895053896756,0.0,0.0,0.0
137,2020-03,S-E-NVE,34.53846153846154,0.0,0.0,0.0
138,2020-03,S-S-DRO,92.62759615384624,0.0,0.0,0.0
139,2020-03,S-S-OSO2,11.3718954248366,0.0,0.0,0.0
140,2020-03,S-S-MBR,3.0,0.0,0.0,0.0
141,2020-03,S-S-BIG,401.2468890174149,0.0,0.0,0.0
142,2020-03,S-S-YTA,231.7757261499882,0.0,0.0,0.0
143,2020-03,S-E-UNI,0.0,0.0,0.0,0.0
144,2020-03,S-E-RBT,8.5,0.0,0.0,0.0
145,2020-03,S-E-ITQ,8.5,0.0,0.0,0.0
146,2020-03,S-E-SJO,4.2,0.0,0.0,0.0
147,2020-03,S-S-PME,56.92795467736646,0.0,0.0,0.0
148,2020-03,S-S-NAN,16.0,0.0,0.0,0.0
149,2020-03,S-E-RUM,0.8888888888888888,0.0,0.0,0.0
150,2020-03,S-S-GUA,0.6136363636363636,0.0,0.0,0.0
151,2020-03,S-E-EMP,6.652298850574713,0.0,0.0,0.0
152,2020-03,S-S-JLB,87.49169808463927,0.0,0.0,0.0
153,2020-03,S-S-FCO,120.42318893227991,0.0,0.0,0.0
154,2020-03,S-S-BLU,472.536632441631,0.0,0.0,0.0
155,2020-03,S-S-ROQ,1.3333333333333333,0.0,0.0,0.0
156,2020-03,S-S-ANA,255.66426149607983,0.0,0.0,0.0
157,2020-03,S-E-RPF,21.0,0.0,0.0,0.0
158,2020-03,S-S-CTA,82.75590672916861,0.0,0.0,0.0
159,2020-03,S-S-VIN,40.37435574229692,0.0,0.0,0.0
160,2020-03,S-E-GPE,8.85,0.0,0.0,0.0
161,2020-03,S-S-CHA,47.68168582375479,0.0,0.0,0.0
162,2020-03,S-E-SEDE,11.278571428571428,0.0,0.0,0.0
163,2020-03,S-S-ITJ,127.12477230903087,0.0,0.0,0.0
164,2020-03,S-S-LNA,8.101190476190476,0.0,0.0,0.0
165,2020-03,S-E-RTB,0.3,0.0,0.0,0.0
166,2020-03,S-S-CAN,767.7616483516485,1.0,0.0,0.0
167,2020-03,S-S-GRT,30.225,0.0,0.0,0.0
168,2020-03,S-S-GUO,9.647058823529411,0.0,0.0,0.0
169,2020-03,S-S-ITR,4.015702479338843,0.0,0.0,0.0
170,2020-03,S-E-BRA,17.4,0.0,0.0,0.0
171,2020-03,S-E-GAC,0.0,0.0,0.0,0.0
172,2020-03,S-S-CMO,64.65976814254326,0.0,0.0,0.0
173,2020-03,S-S-SPA2,0.6,0.0,0.0,0.0
174,2020-03,S-E-AGL,0.2703703703703703,0.0,0.0,0.0
175,2020-03,S-E-RBA,84.80000000000001,0.0,0.0,0.0
176,2020-03,S-S-MCL,112.53653810835642,0.0,0.0,0.0
177,2020-03,S-S-CNO,193.4810973452199,0.0,0.0,0.0
178,2020-03,S-S-PAL,341.68611943611927,0.0,0.0,0.0
179,2020-03,S-U-UHJB,118.43760678472766,0.0,0.0,0.0
180,2020-03,S-S-CCH,143.07794486215516,0.0,0.0,0.0
